playerId,season,name,team,position,situation,icetime,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts,cap_hit,team_rank
8480950,2023,Ilya Lyubushkin,TOR,D,other,2881.0,5.08,0.37,0.45,0.28,0.51,0.31,0.48,179.0,1.38,0.24,0.11,0.32,0.07,0.87,0.39,0.23,0.24,0.23,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.03,0.0,0.21,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.03,0.46,0.21,0.06,0.06,0.06,56.0,5.0,20.0,8.0,23.0,4.0,17.0,12.0,23.0,7697.0,0.0,2.0,1.0,10.0,22.73,6.02,5.5,6.02,5.5,21.0,10.0,6.0,37.0,5.0,3.0,1.0,19.0,2.0,10.0,0.77,0.17,5.08,1.0,0.0,4.0,37.0,31.0,31.0,0.38,1.14,1.14,5.26,5.26,4.79,52.18,10.07,7.26,10.07,7.26,46.0,22.0,28.0,96.0,8.0,9.0,1.0,32.0,20.0,16.0,1.24,2.52,6.31,0.0,4.0,4.0,96.0,68.0,68.0,1.21,2.53,2.53,8.75,8.75,6.64,18.0,21.61,195.0,191.0,0.11,0.02,3.0,1.0,3.0,1.0,2750000,10
8480950,2023,Ilya Lyubushkin,TOR,D,all,76034.0,4.47,0.36,0.51,0.38,0.51,0.38,0.51,329.0,52.22,2.71,2.71,14.37,1.96,28.09,23.16,2.62,2.67,2.58,4.0,4.0,47.0,26.0,34.0,107.0,8.0,0.0,3.0,0.0,8.0,0.0,23.0,39.0,47.0,73.0,22.0,47.0,176.0,23.0,40.0,66.0,5.0,2.0,1.43,0.67,0.61,0.0,0.0,0.0,105.99,73.0,71.85,33.0,0.57,0.7,0.78,2.49,2.48,2.44,1717.0,145.0,286.0,275.0,1011.0,177.0,258.0,210.0,1072.0,192859.0,47.0,23.0,10.0,168.0,524.06,47.65,45.5,47.1,44.99,526.0,190.0,234.0,950.0,43.0,47.0,7.0,550.0,118.0,48.0,15.64,15.64,16.37,11.0,19.0,13.0,936.45,716.0,705.42,6.96,10.71,11.07,43.54,43.03,41.94,841.28,84.55,78.29,85.23,78.95,799.0,351.0,433.0,1583.0,88.0,97.0,13.0,824.0,229.0,97.0,22.6,28.66,33.28,26.0,34.0,28.0,1599.66,1150.0,1160.77,13.97,19.75,19.75,78.77,79.49,75.39,176.13,171.61,3226.0,3132.0,0.0,0.0,0.0,0.0,0.0,0.0,2750000,10
8480950,2023,Ilya Lyubushkin,TOR,D,5on5,61758.0,4.47,0.46,0.51,0.46,0.5,0.46,0.5,343.0,47.35,2.38,2.4,13.03,1.74,25.86,20.6,2.31,2.34,2.27,4.0,4.0,41.0,25.0,32.0,98.0,8.0,0.0,2.0,0.0,8.0,0.0,21.0,35.0,41.0,66.0,20.0,43.0,156.0,20.0,36.0,60.0,5.0,1.0,1.31,0.67,0.4,0.0,0.0,0.0,96.99,66.0,64.85,29.0,0.49,0.24,0.57,2.29,2.28,2.25,1389.0,136.0,139.0,245.0,869.0,161.0,192.0,155.0,881.0,146864.0,43.0,15.0,6.0,104.0,478.84,40.07,38.45,39.53,37.94,481.0,175.0,223.0,879.0,37.0,44.0,6.0,508.0,112.0,36.0,14.44,15.05,10.59,10.0,19.0,8.0,865.45,656.0,645.43,6.32,9.57,9.93,36.46,35.95,35.34,559.29,47.7,45.81,48.37,46.46,532.0,234.0,287.0,1053.0,50.0,61.0,8.0,577.0,135.0,54.0,15.94,17.19,14.57,20.0,19.0,11.0,1069.66,766.0,776.77,7.6,11.57,11.57,43.73,44.45,43.65,107.09,104.8,2302.0,2303.0,6.54,0.64,140.0,11.0,108.0,8.0,2750000,10
8480950,2023,Ilya Lyubushkin,TOR,D,4on5,11271.0,3.43,0.05,0.13,0.06,0.12,0.08,0.15,202.0,2.67,0.07,0.15,0.64,0.12,1.04,1.98,0.07,0.07,0.07,0.0,0.0,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,2.0,4.0,19.0,3.0,4.0,4.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,0.03,0.0,0.0,0.1,0.1,0.1,259.0,1.0,127.0,22.0,109.0,9.0,48.0,42.0,160.0,15166.0,4.0,0.0,0.0,0.0,21.66,1.54,1.53,1.54,1.53,23.0,5.0,2.0,30.0,1.0,0.0,0.0,22.0,4.0,2.0,0.41,0.43,0.7,0.0,0.0,1.0,30.0,28.0,28.0,0.24,0.0,0.0,1.79,1.79,1.77,228.98,26.72,25.17,26.72,25.17,221.0,94.0,117.0,432.0,30.0,27.0,4.0,214.0,74.0,27.0,5.36,8.96,12.4,6.0,11.0,13.0,432.0,315.0,315.0,5.15,5.65,5.65,26.21,26.21,25.02,4.28,27.86,68.0,482.0,0.11,0.0,4.0,0.0,3.0,0.0,2750000,10
8480950,2023,Ilya Lyubushkin,TOR,D,5on4,124.0,3.45,1.0,0.81,0.8,0.85,1.0,0.84,45.0,0.83,0.02,0.06,0.38,0.03,0.33,0.19,0.02,0.02,0.02,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.02,0.0,0.0,0.04,0.04,0.04,13.0,3.0,0.0,0.0,10.0,3.0,1.0,1.0,8.0,3548.0,0.0,0.0,0.0,6.0,0.83,0.02,0.02,0.02,0.02,1.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.02,0.0,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03,1.37,106.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2750000,10
8480860,2023,Kevin Bahl,NJD,D,other,2262.0,8.2,0.37,0.51,0.22,0.56,0.23,0.53,172.0,2.24,0.14,0.11,0.55,0.08,1.27,0.85,0.14,0.14,0.14,0.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.03,0.0,0.0,0.17,0.17,0.17,31.0,0.0,9.0,2.0,20.0,1.0,6.0,4.0,20.0,6273.0,0.0,0.0,0.0,4.0,11.76,4.6,4.58,4.6,4.58,8.0,8.0,7.0,23.0,4.0,1.0,0.0,7.0,2.0,7.0,0.35,0.26,3.99,0.0,1.0,3.0,23.0,16.0,16.0,0.19,0.22,0.22,4.57,4.57,4.55,38.55,7.96,7.48,7.96,7.48,40.0,13.0,29.0,82.0,2.0,6.0,0.0,25.0,15.0,13.0,1.08,1.96,4.92,0.0,1.0,1.0,82.0,53.0,53.0,0.96,2.02,2.02,6.9,6.9,6.63,24.35,23.86,172.0,133.0,0.14,0.02,4.0,1.0,3.0,1.0,1050000,23
8480860,2023,Kevin Bahl,NJD,D,all,85591.0,11.02,0.46,0.52,0.44,0.55,0.45,0.53,359.0,68.29,2.27,3.53,19.74,2.27,39.25,29.95,2.19,2.25,2.17,5.0,5.0,63.0,34.0,69.0,166.0,11.0,1.0,6.0,0.0,17.0,0.0,36.0,37.0,62.0,96.0,33.0,72.0,151.0,19.0,24.0,95.0,2.0,0.0,2.03,0.24,0.0,1.0,0.0,0.0,164.44,97.0,96.15,19.0,0.73,1.16,0.2,2.8,2.77,2.71,1949.0,131.0,264.0,322.0,1232.0,226.0,254.0,271.0,1198.0,211367.0,72.0,24.0,8.0,103.0,634.14,59.76,57.48,60.14,57.83,579.0,287.0,306.0,1172.0,66.0,70.0,9.0,643.0,149.0,74.0,17.51,18.67,23.58,18.0,29.0,19.0,1175.46,866.0,868.7,8.59,16.31,16.24,52.11,52.47,51.77,772.78,70.57,67.83,70.7,67.97,750.0,310.0,422.0,1482.0,86.0,86.0,9.0,784.0,195.0,81.0,20.74,24.02,25.81,32.0,30.0,24.0,1479.51,1060.0,1061.32,11.93,16.57,16.57,65.93,66.0,64.5,214.84,199.04,3960.0,3270.0,0.0,0.0,0.0,0.0,0.0,0.0,1050000,23
8480860,2023,Kevin Bahl,NJD,D,5on5,74540.0,11.02,0.52,0.52,0.49,0.53,0.5,0.51,340.0,63.8,2.06,3.31,18.64,2.12,37.19,27.67,1.99,2.04,1.96,5.0,4.0,58.0,33.0,69.0,160.0,10.0,1.0,6.0,0.0,16.0,0.0,34.0,34.0,57.0,90.0,30.0,66.0,142.0,15.0,21.0,89.0,2.0,0.0,1.82,0.24,0.0,1.0,0.0,0.0,158.44,91.0,90.15,16.0,0.67,1.16,0.2,2.54,2.51,2.44,1699.0,125.0,185.0,303.0,1086.0,221.0,214.0,235.0,1029.0,164594.0,66.0,22.0,7.0,80.0,601.98,53.86,51.65,54.24,52.0,551.0,272.0,294.0,1117.0,62.0,68.0,9.0,613.0,145.0,65.0,16.7,18.23,18.93,18.0,28.0,16.0,1120.46,823.0,825.7,8.19,15.75,15.69,46.36,46.72,46.05,605.78,48.75,47.31,48.86,47.44,591.0,240.0,322.0,1153.0,64.0,63.0,6.0,630.0,150.0,51.0,16.57,18.71,13.46,26.0,24.0,14.0,1150.51,831.0,832.32,7.83,10.97,10.97,45.6,45.67,45.01,132.64,124.65,2921.0,2585.0,9.32,0.33,172.0,13.0,134.0,13.0,1050000,23
8480860,2023,Kevin Bahl,NJD,D,4on5,8534.0,10.67,0.08,0.11,0.1,0.14,0.11,0.17,214.0,1.59,0.06,0.07,0.37,0.05,0.48,0.97,0.06,0.06,0.06,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,6.0,3.0,2.0,2.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.02,0.0,0.0,0.08,0.08,0.08,191.0,1.0,68.0,15.0,107.0,3.0,29.0,28.0,131.0,13532.0,4.0,0.0,0.0,0.0,16.84,1.21,1.17,1.21,1.17,16.0,6.0,4.0,26.0,0.0,1.0,0.0,18.0,2.0,2.0,0.37,0.18,0.65,0.0,0.0,0.0,26.0,22.0,22.0,0.16,0.34,0.34,1.03,1.03,1.02,127.54,13.74,12.91,13.74,12.91,118.0,57.0,71.0,246.0,20.0,17.0,3.0,129.0,29.0,17.0,3.09,3.21,7.44,6.0,5.0,9.0,246.0,175.0,175.0,3.12,3.59,3.59,13.28,13.28,12.71,2.84,22.49,59.0,359.0,0.24,0.0,6.0,0.0,5.0,0.0,1050000,23
8480860,2023,Kevin Bahl,NJD,D,5on4,255.0,1.85,0.41,0.83,0.86,0.86,0.83,0.81,85.0,0.66,0.01,0.04,0.17,0.02,0.31,0.46,0.01,0.01,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,28.0,5.0,2.0,2.0,19.0,1.0,5.0,4.0,18.0,7989.0,2.0,0.0,0.0,11.0,3.56,0.09,0.09,0.09,0.09,4.0,1.0,1.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,0.06,0.0,0.0,0.15,0.15,0.15,0.92,0.13,0.13,0.13,0.13,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.02,0.0,0.0,0.15,0.15,0.15,11.26,2.32,217.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1050000,23
