playerId,season,name,team,position,situation,icetime,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts,cap_hit,team_rank
8476925,2023,Colton Sissons,NSH,C,other,4590.0,33.17,0.42,0.57,0.52,0.55,0.53,0.54,271.0,8.32,2.56,0.78,1.47,0.43,4.94,2.82,2.43,2.56,2.43,1.0,1.0,5.0,8.0,2.0,15.0,4.0,2.0,1.0,0.0,0.0,0.0,9.0,1.0,3.0,11.0,0.0,0.0,36.0,3.0,0.0,3.0,4.0,4.0,5.0,0.1,0.55,1.91,0.0,0.0,2.0,15.0,13.0,13.0,2.0,0.23,0.31,0.31,2.48,2.48,2.42,92.0,20.0,25.0,6.0,41.0,11.0,5.0,25.0,51.0,36.0,32.0,6166.0,0.0,0.0,0.0,6.0,63.04,13.54,12.84,13.54,12.84,61.0,26.0,34.0,121.0,10.0,9.0,1.0,47.0,16.0,24.0,1.78,1.85,9.92,1.0,0.0,9.0,121.0,87.0,87.0,1.7,2.34,2.34,12.9,12.9,12.52,56.74,18.53,17.14,18.53,17.14,52.0,25.0,36.0,113.0,19.0,12.0,3.0,25.0,22.0,30.0,0.94,2.73,14.86,0.0,4.0,15.0,113.0,77.0,77.0,1.31,4.91,4.91,14.92,14.92,14.19,21.42,16.23,152.0,126.0,0.02,0.0,1.0,0.0,1.0,0.0,2857143,11
8476925,2023,Colton Sissons,NSH,C,all,80548.0,35.27,0.48,0.54,0.49,0.53,0.5,0.53,380.0,148.31,20.86,12.47,32.96,5.78,77.81,54.11,19.69,20.91,19.73,15.0,5.0,131.0,73.0,37.0,241.0,35.0,15.0,18.0,3.0,19.0,0.0,72.0,80.0,116.0,189.0,19.0,38.0,618.0,137.0,33.0,31.0,112.0,68.0,24.0,3.78,8.99,8.09,1.0,7.0,7.0,242.47,204.0,204.85,13.0,2.93,5.64,5.83,17.97,18.03,17.58,1859.0,228.0,377.0,286.0,968.0,221.0,192.0,278.0,1168.0,618.0,558.0,212994.0,38.0,34.0,17.0,57.0,724.29,77.83,73.94,78.61,74.65,695.0,300.0,349.0,1344.0,69.0,85.0,10.0,720.0,181.0,94.0,20.41,22.77,34.64,24.0,15.0,30.0,1360.33,995.0,1007.88,12.41,19.41,19.61,70.63,71.3,69.44,744.64,84.47,79.55,84.34,79.45,744.0,267.0,371.0,1382.0,88.0,110.0,12.0,704.0,201.0,106.0,19.09,25.56,39.83,26.0,23.0,39.0,1376.72,1011.0,1006.88,12.47,22.25,22.25,74.7,74.78,72.59,192.16,163.13,3806.0,3363.0,0.0,0.0,0.0,0.0,0.0,0.0,2857143,11
8476925,2023,Colton Sissons,NSH,C,5on5,56970.0,35.27,0.51,0.53,0.49,0.52,0.5,0.52,589.0,92.47,11.31,6.84,22.4,3.26,46.18,33.01,10.8,11.36,10.84,11.0,2.0,81.0,42.0,30.0,153.0,20.0,7.0,8.0,1.0,18.0,0.0,42.0,48.0,74.0,116.0,16.0,32.0,442.0,126.0,24.0,22.0,69.0,44.0,10.0,2.68,5.97,2.66,1.0,4.0,2.0,154.47,123.0,123.85,8.0,1.45,2.49,3.05,9.71,9.77,9.58,1342.0,111.0,204.0,245.0,782.0,184.0,138.0,180.0,840.0,442.0,369.0,176849.0,32.0,32.0,16.0,46.0,486.62,43.26,41.1,44.04,41.81,467.0,197.0,235.0,899.0,34.0,51.0,4.0,494.0,126.0,44.0,14.09,16.14,13.02,16.0,11.0,7.0,915.33,664.0,676.88,6.78,10.68,10.88,39.15,39.81,38.76,491.86,40.92,39.3,40.78,39.21,491.0,182.0,261.0,934.0,37.0,62.0,4.0,501.0,133.0,39.0,13.37,17.09,10.46,17.0,13.0,7.0,928.72,673.0,668.88,6.72,10.04,10.04,37.61,37.69,37.11,138.33,120.27,3109.0,2832.0,1.1,1.57,37.0,32.0,29.0,27.0,2857143,11
8476925,2023,Colton Sissons,NSH,C,4on5,9513.0,34.57,0.14,0.12,0.11,0.14,0.14,0.15,216.0,11.17,2.24,0.78,1.62,0.38,2.93,6.05,2.11,2.24,2.11,1.0,0.0,9.0,5.0,0.0,14.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,9.0,6.0,11.0,1.0,2.0,93.0,2.0,8.0,4.0,3.0,8.0,3.0,0.11,1.03,1.1,0.0,2.0,1.0,14.0,14.0,14.0,3.0,0.18,0.78,1.32,1.09,1.09,1.08,259.0,4.0,145.0,26.0,84.0,6.0,36.0,49.0,168.0,93.0,35.0,14130.0,2.0,0.0,0.0,0.0,26.45,3.72,3.55,3.72,3.55,25.0,10.0,2.0,37.0,4.0,7.0,1.0,18.0,12.0,5.0,0.56,1.52,1.64,1.0,2.0,1.0,37.0,35.0,35.0,0.36,1.77,1.77,2.31,2.31,2.29,166.53,22.47,20.55,22.47,20.55,169.0,53.0,71.0,293.0,31.0,36.0,5.0,146.0,42.0,34.0,3.88,5.07,13.52,8.0,6.0,17.0,293.0,222.0,222.0,4.15,7.3,7.3,19.33,19.33,18.45,2.73,20.5,53.0,335.0,0.11,0.03,3.0,1.0,3.0,1.0,2857143,11
8476925,2023,Colton Sissons,NSH,C,5on4,9475.0,32.41,0.88,0.86,0.88,0.89,0.85,0.86,414.0,35.62,4.72,4.04,7.3,1.7,23.41,11.84,4.31,4.72,4.31,2.0,2.0,35.0,18.0,5.0,58.0,7.0,3.0,7.0,1.0,1.0,0.0,20.0,22.0,32.0,50.0,2.0,4.0,45.0,6.0,1.0,2.0,35.0,12.0,6.0,0.85,1.44,2.42,0.0,1.0,2.0,58.0,53.0,53.0,0.0,1.07,2.06,1.14,4.65,4.65,4.45,166.0,93.0,3.0,9.0,61.0,20.0,13.0,24.0,109.0,45.0,116.0,14331.0,4.0,2.0,1.0,4.0,147.46,17.28,16.41,17.28,16.41,141.0,67.0,78.0,286.0,21.0,18.0,4.0,160.0,27.0,21.0,3.95,3.26,10.07,6.0,2.0,13.0,286.0,208.0,208.0,3.56,4.62,4.62,16.22,16.22,15.82,28.03,2.46,2.46,2.46,2.46,31.0,6.0,3.0,40.0,0.0,0.0,0.0,30.0,4.0,3.0,0.8,0.67,0.99,0.0,0.0,0.0,40.0,37.0,37.0,0.27,0.0,0.0,2.72,2.72,2.72,24.77,4.03,429.0,55.0,0.03,0.0,2.0,0.0,2.0,0.0,2857143,11
8478047,2023,Michael Bunting,PIT,L,other,1678.0,26.91,0.4,0.51,0.77,0.49,0.68,0.47,182.0,6.49,1.55,0.56,1.16,0.24,3.95,1.54,1.37,1.55,1.37,0.0,0.0,4.0,5.0,3.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,2.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,2.0,0.11,0.64,0.79,0.0,0.0,1.0,12.0,9.0,9.0,0.0,0.17,0.34,0.59,1.12,1.12,1.06,20.0,12.0,2.0,1.0,5.0,2.0,2.0,8.0,8.0,0.0,0.0,3483.0,0.0,0.0,0.0,0.0,30.37,6.8,6.25,6.8,6.25,26.0,16.0,28.0,70.0,2.0,3.0,1.0,22.0,9.0,11.0,0.98,1.07,4.74,0.0,0.0,2.0,70.0,42.0,42.0,0.78,1.14,1.14,6.44,6.44,5.98,13.13,10.41,9.84,10.41,9.84,8.0,12.0,1.0,21.0,6.0,1.0,0.0,2.0,1.0,17.0,0.08,0.11,10.22,0.0,0.0,6.0,21.0,20.0,20.0,0.13,0.29,0.29,10.24,10.24,9.69,11.26,10.68,83.0,87.0,0.04,0.0,1.0,0.0,1.0,0.0,4500000,19
8478047,2023,Michael Bunting,PIT,L,all,76232.0,64.16,0.6,0.52,0.62,0.54,0.61,0.53,497.0,181.37,24.34,13.82,42.27,6.26,94.14,61.17,20.91,24.6,21.15,26.0,10.0,168.0,74.0,90.0,332.0,55.0,19.0,24.0,5.0,30.0,1.0,88.0,80.0,149.0,223.0,21.0,47.0,7.0,49.0,38.0,47.0,147.0,63.0,32.0,4.36,7.79,12.18,4.0,6.0,9.0,335.8,242.0,244.33,8.0,3.24,6.6,8.96,18.62,18.87,18.14,1506.0,336.0,76.0,209.0,885.0,221.0,225.0,296.0,764.0,7.0,16.0,218505.0,47.0,71.0,34.0,21.0,875.08,89.08,82.83,89.55,83.26,808.0,396.0,477.0,1681.0,84.0,87.0,12.0,906.0,198.0,100.0,25.62,24.13,39.33,27.0,21.0,36.0,1691.72,1204.0,1209.36,14.17,20.14,20.14,83.1,83.4,80.77,567.06,58.69,56.21,58.66,56.19,538.0,234.0,237.0,1009.0,65.0,73.0,11.0,551.0,154.0,67.0,15.66,19.06,23.96,22.0,23.0,20.0,1004.35,772.0,769.24,7.45,13.05,13.05,53.08,53.04,51.81,186.21,173.71,3866.0,3256.0,0.0,0.0,0.0,0.0,0.0,0.0,4500000,19
8478047,2023,Michael Bunting,PIT,L,5on5,61004.0,64.16,0.51,0.55,0.56,0.57,0.54,0.56,500.0,122.34,13.15,8.17,30.04,4.1,61.42,45.13,12.52,13.41,12.77,16.0,6.0,116.0,46.0,62.0,224.0,33.0,11.0,13.0,3.0,19.0,1.0,62.0,56.0,105.0,151.0,18.0,41.0,7.0,45.0,36.0,38.0,107.0,38.0,17.0,3.35,4.67,5.12,4.0,3.0,4.0,227.8,162.0,164.33,8.0,1.72,2.59,3.61,11.26,11.52,11.25,1302.0,200.0,74.0,195.0,833.0,188.0,206.0,236.0,672.0,7.0,13.0,177706.0,41.0,65.0,31.0,21.0,603.11,46.16,44.49,46.63,44.92,557.0,277.0,337.0,1171.0,45.0,53.0,6.0,668.0,122.0,44.0,18.56,14.93,12.67,22.0,12.0,11.0,1181.72,834.0,839.36,7.76,10.1,10.1,43.82,44.12,43.29,515.39,44.82,43.02,44.79,42.99,491.0,210.0,229.0,930.0,54.0,69.0,9.0,512.0,144.0,45.0,14.43,17.89,12.49,21.0,22.0,11.0,925.35,701.0,698.24,6.88,12.22,12.22,39.47,39.43,38.78,134.0,110.54,3282.0,2478.0,0.89,1.66,24.0,40.0,20.0,32.0,4500000,19
8478047,2023,Michael Bunting,PIT,L,4on5,46.0,3.47,0.0,0.19,0.0,0.26,0.0,0.35,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,1.0,2.0,1.0,3.0,0.0,0.0,2169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.1,0.1,0.1,0.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.02,0.0,0.0,0.11,0.11,0.11,0.45,1.87,11.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,4500000,19
8478047,2023,Michael Bunting,PIT,L,5on4,13504.0,63.05,0.91,0.83,0.89,0.86,0.87,0.83,253.0,52.53,9.64,5.09,11.06,1.92,28.78,14.5,7.02,9.64,7.02,10.0,4.0,48.0,23.0,25.0,96.0,21.0,7.0,10.0,1.0,11.0,0.0,21.0,22.0,41.0,64.0,3.0,6.0,0.0,3.0,2.0,9.0,38.0,20.0,13.0,0.9,2.48,6.26,0.0,3.0,4.0,96.0,71.0,71.0,0.0,1.35,3.66,4.76,6.24,6.24,5.84,177.0,124.0,0.0,13.0,40.0,30.0,15.0,51.0,81.0,0.0,1.0,8942.0,6.0,0.0,0.0,0.0,241.59,36.11,32.09,36.11,32.09,225.0,103.0,112.0,440.0,37.0,31.0,5.0,216.0,67.0,45.0,6.08,8.12,21.91,5.0,9.0,23.0,440.0,328.0,328.0,5.63,8.9,8.9,32.85,32.85,31.49,37.86,3.36,3.26,3.36,3.26,39.0,11.0,7.0,57.0,5.0,3.0,2.0,37.0,8.0,5.0,1.16,0.96,1.25,1.0,1.0,3.0,57.0,50.0,50.0,0.43,0.54,0.54,3.26,3.26,3.23,17.82,3.77,264.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,4500000,19
