playerId,season,name,team,position,team_rank,ev_icetime,offensive_rank,defensive_rank,general_play_rank,physicality_rank,penalties_rank,Finishing,penalty_kill_rank,power_play_rank,overall
8478438,2023,Tommy Novak,NSH,C,11,50.0,86.0,82.0,96.0,0.0,93.0,60.0,0.0,42.0,81.0
8476925,2023,Colton Sissons,NSH,C,11,62.0,44.0,47.0,56.0,72.0,45.0,21.0,15.0,39.0,54.0
8478028,2023,Fredrik Olofsson,COL,L,8,24.0,11.0,39.0,12.0,52.0,45.0,28.0,0.0,0.0,12.0
8475278,2023,Byron Froese,VGK,C,14,4.0,6.0,84.0,27.0,74.0,45.0,6.0,0.0,0.0,11.0
8478047,2023,Michael Bunting,PIT,L,19,73.0,79.0,35.0,75.0,25.0,92.0,41.0,0.0,88.0,81.0
8484166,2023,Adam Fantilli,CBJ,C,29,35.0,67.0,9.0,32.0,61.0,75.0,82.0,0.0,15.0,36.0
8476389,2023,Vincent Trocheck,NYR,C,1,98.0,73.0,45.0,84.0,73.0,53.0,16.0,84.0,94.0,93.0
8476456,2023,Jonathan Huberdeau,CGY,C,24,89.0,45.0,55.0,68.0,29.0,56.0,22.0,0.0,41.0,75.0
8470610,2023,Zach Parise,COL,L,8,17.0,63.0,32.0,59.0,36.0,27.0,40.0,0.0,0.0,31.0
8471675,2023,Sidney Crosby,PIT,C,19,98.0,99.0,10.0,92.0,47.0,84.0,77.0,0.0,79.0,97.0
8481560,2023,Arthur Kaliyev,LAK,R,12,26.0,81.0,67.0,92.0,38.0,21.0,6.0,0.0,0.0,58.0
8475191,2023,Reilly Smith,PIT,R,19,71.0,76.0,79.0,70.0,28.0,34.0,38.0,0.0,18.0,77.0
8477930,2023,Pierre-Edouard Bellemare,SEA,L,25,14.0,27.0,100.0,82.0,37.0,59.0,62.0,0.0,0.0,40.0
8477454,2023,Adam Erne,EDM,L,9,5.0,4.0,81.0,31.0,99.0,17.0,53.0,0.0,0.0,10.0
8482744,2023,James Malatesta,CBJ,L,29,0.0,47.0,0.0,6.0,99.0,86.0,97.0,0.0,0.0,8.0
8475791,2023,Taylor Hall,CHI,L,31,1.0,59.0,4.0,31.0,15.0,12.0,95.0,0.0,0.0,9.0
