playerId,season,name,team,position,expected_involvement
8476925,2023,Colton Sissons,NSH,C,3.215192953734696
8478047,2023,Michael Bunting,PIT,L,3.9710113989758407
8484166,2023,Adam Fantilli,CBJ,C,3.8757059997135945
8476389,2023,Vincent Trocheck,NYR,C,4.476345310550445
8476456,2023,Jonathan Huberdeau,CGY,C,3.2873893047836162
8471675,2023,Sidney Crosby,PIT,C,5.515911568958888
8481560,2023,Arthur Kaliyev,LAK,R,3.6859568334781554
8475191,2023,Reilly Smith,PIT,R,3.7105483676573288
8475791,2023,Taylor Hall,CHI,L,3.397753823785682
8478463,2023,Anthony Beauvillier,NSH,L,2.5725331606439914
8482155,2023,Alex Laferriere,LAK,R,3.121356502728545
8479941,2023,Justin Danforth,CBJ,R,3.9677358024123546
8480798,2023,Philipp Kurashev,CHI,C,2.8159696362595916
8476442,2023,Matt Nieto,PIT,L,3.3637837267808877
8477933,2023,Sam Reinhart,FLA,C,4.785353832474203
8475763,2023,Kevin Hayes,STL,R,3.281292949575697
8480829,2023,Jesperi Kotkaniemi,CAR,C,3.6579497680274677
8476453,2023,Nikita Kucherov,TBL,R,5.490043067853215
8481617,2023,Vasily Podkolzin,VAN,R,2.195161605619195
8474586,2023,Jordan Eberle,SEA,R,3.845154894972938
8479293,2023,Brandon Tanev,SEA,L,2.676872239647848
8478104,2023,Sammy Blais,STL,L,1.8017468916961419
8478445,2023,Mathew Barzal,NYI,C,4.329793313943068
8479675,2023,Trevor Moore,LAK,L,4.747873094164884
8478462,2023,Nicolas Roy,VGK,C,3.4681088277888996
8480074,2023,Alexandre Texier,CBJ,C,3.4736399476935578
8480835,2023,Jack Drury,CAR,C,3.454184755130438
8480845,2023,Rasmus Kupari,WPG,C,1.2334610595919582
8477839,2023,Conor Sheary,TBL,L,3.072291746414566
8477073,2023,Kurtis MacDermid,NJD,L,2.9103748286739104
8476882,2023,Teuvo Teravainen,CAR,L,3.838840814352872
8475220,2023,Marcus Foligno,MIN,L,3.265482487370786
8476393,2023,Nick Cousins,FLA,C,2.5659431099963506
8478483,2023,Mitch Marner,TOR,R,4.861179139860607
8484144,2023,Connor Bedard,CHI,C,3.339323756771493
8479291,2023,Kevin Rooney,CGY,C,3.2583443293531174
8475744,2023,Evgeny Kuznetsov,CAR,C,2.4856859771730284
8479671,2023,Mathieu Olivier,CBJ,R,2.9189984427384985
8473994,2023,Jamie Benn,DAL,L,3.9796046491497576
8477425,2023,Miles Wood,COL,L,3.426550030932653
8475765,2023,Vladimir Tarasenko,FLA,R,5.057557251315614
8476479,2023,Phillip Danault,LAK,C,4.200809674736495
8477402,2023,Pavel Buchnevich,STL,L,3.922262564585123
8482259,2023,Bobby McMann,TOR,C,4.4755303036195775
8480009,2023,Eeli Tolvanen,SEA,R,3.103286209174464
8473533,2023,Jordan Staal,CAR,C,2.91444655208622
8480039,2023,Martin Necas,CAR,C,3.7812298002683744
8481577,2023,Philip Tomasino,NSH,C,3.673457124522473
