name,EV_I_F_goals,PP_I_F_goals,PK_I_F_goals
Colton Sissons,-3.8724509190629024,-1.3902084146963607,1.7198420010065878
Michael Bunting,-0.6423204470162064,0.742968397671804,0.0
Adam Fantilli,2.7965480087760364,-2.008509048720155,0.0
Vincent Trocheck,-5.463203315800983,3.5164901207640185,-0.04762220352819455
Jonathan Huberdeau,-5.832240255342645,-1.844189840059652,0.0
Sidney Crosby,8.472481852538069,2.4076036851488576,0.0
Roby Jarventie,0.0,0.0,0.0
Arthur Kaliyev,-2.0087610529523516,0.9886126935939943,0.0
Reilly Smith,0.45844581742587326,-2.6511706921168687,-0.4582085553003857
Taylor Hall,0.6324033125152755,0.0,0.0
Anthony Beauvillier,-5.389173205198649,0.1637576836473162,0.0
Alex Laferriere,0.5097831756359458,0.0,0.0
Justin Danforth,-1.881200961653515,0.0,-0.6759417248968685
Philipp Kurashev,-3.7461690711317033,-1.8219492064020872,0.0
Matt Nieto,-1.2830811013647445,0.0,-0.42537363973701
Sam Reinhart,7.530747310886204,15.835370715001101,2.61232110946914
Kevin Hayes,0.7006283734429143,-3.1702169892720318,0.0
Jesperi Kotkaniemi,-0.4195752646669695,-1.4464697023321147,0.0
Nikita Kucherov,5.714635572046603,2.4206755665944244,0.0
Vasily Podkolzin,-2.2088423194178346,0.0,0.0
Jordan Eberle,-3.678037335514616,0.5820889717103379,0.0
Brandon Tanev,-2.7055945431626007,0.0,-1.332505466838302
Sammy Blais,-4.679362241537527,0.0,0.0
Mathew Barzal,-0.9027198063504285,-1.62863552302334,0.0
Trevor Moore,11.994853995444242,-1.909254711851525,-0.0808608270698085
Nicolas Roy,-0.6720346248570802,-2.073377563554719,0.24425866473804234
Alexandre Texier,-3.2657828717430615,0.0,0.9128144146044594
Jack Drury,-3.1084687557331083,0.11742303019405638,0.0
Rasmus Kupari,-2.586334120680015,0.0,0.0
Conor Sheary,-2.7631721198832917,0.0,0.0
Kurtis MacDermid,-0.47602559634758795,0.0,0.0
Teuvo Teravainen,3.409618283295795,4.475884436823718,-0.017478674486407084
Marcus Foligno,0.7011254098725533,0.0,-0.9282592112957593
Nick Cousins,-3.3216428416834898,0.0,0.0
Mitch Marner,4.11320685459307,0.2327256846727596,-0.0953943142863845
Connor Bedard,3.868543311004538,-3.0336985726834844,0.0
Kevin Rooney,-0.19264931411274844,0.0,-0.6546797713763219
Evgeny Kuznetsov,-4.571077515217195,-2.9847801969803385,-0.6511809688982574
Mathieu Olivier,-2.5971367977912307,0.0,0.0
Jamie Benn,2.500269752254104,1.7743777835413659,0.36738959810070104
Miles Wood,-5.273196997949025,0.0,0.28153436806203846
Vladimir Tarasenko,5.8842214537332165,-1.8845991670426425,0.0
Phillip Danault,0.6471628815484558,-0.7693240584226807,-1.0986239781122904
Pavel Buchnevich,-2.8062853084408985,1.3885082987543664,0.9247910846255268
Bobby McMann,5.317173708393442,0.0,0.0
Eeli Tolvanen,0.05957935400931101,-4.18206764221257,0.0
Jordan Staal,-2.5205612108153623,0.0,-0.29496062486214714
Martin Necas,0.3063133582652135,2.701534199141093,0.0
Philip Tomasino,1.9572973383465142,-1.816318415367782,0.0
Tyler Seguin,9.683862832544406,-0.24435243479724747,-0.5608849510989743
Pierre-Luc Dubois,-4.29462933312042,2.2585749121279304,0.0
Jordan Kyrou,8.355904273186518,-0.2751021171749676,0.0
David Perron,-2.597442989023063,1.1405197243007723,0.0
Conor Garland,7.379817595929401,-2.7392065336780616,0.0
Morgan Frost,-1.2105997730683422,-1.9795852066218256,0.0
Rafael Harvey-Pinard,-3.2577851995819374,0.0,-0.6896677961569682
Timo Meier,3.5517691191534784,3.70802105062455,0.0
Bobby Brink,-0.40803804327303317,-1.3671392664483857,0.0
Ross Johnston,-5.249416847386937,0.0,0.0
Cole Perfetti,1.8697748917168988,-0.26927496918335325,0.0
Matt Coronato,-2.244778889622557,0.0,0.0
Tyson Foerster,2.5194874442155943,-3.1000553056003004,0.0
Dylan Strome,2.439303624628164,-1.4525638399009528,0.0
Jaden Schwartz,-5.547412710689131,3.000392713914618,0.0
Logan O'Connor,0.9072093869955699,0.0,1.9838670187743874
Mason Appleton,-3.0978967706899416,0.0,0.0012264618386307945
Kirill Marchenko,2.1967970512325214,1.874460635000406,0.0
Corey Perry,2.1041904676408665,0.27876580269005485,0.0
Johnny Gaudreau,-6.780550043245464,-5.342750711216727,0.0
Morgan Barron,0.7982367790477918,0.0,-0.8967699889931777
Rickard Rakell,-0.07799119710100519,-2.2349873256279413,0.0
Ryan Poehling,-3.923788277272976,0.0,1.9513012418631703
Jonatan Berggren,0.618471613075367,0.0,0.0
Cody Glass,-0.026671665037700368,-2.5845469696228287,0.0
Mats Zuccarello,-5.240972996028155,-4.30836488918266,0.0
Logan Couture,0.0,0.0,0.0
Lawson Crouse,3.3225640365873113,2.6189603375156363,-1.3829689641180802
Zach Hyman,21.724779204038878,8.13227766515784,0.0
Travis Konecny,8.398682434003785,-3.017018097440311,5.058552994748458
Brett Howden,-3.650087427109279,0.0,0.2663280342150653
