name,cap_hit
Auston Matthews,13250000
Nathan MacKinnon,12600000
Connor McDavid,12500000
Artemi Panarin,11642857
Elias Pettersson,11600000
Erik Karlsson,11500000
William Nylander,11500000
David Pastrnak,11250000
John Tavares,11000000
Drew Doughty,11000000
Rasmus Dahlin,11000000
Mitch Marner,10903000
Jonathan Huberdeau,10500000
Jack Eichel,10000000
Aleksander Barkov,10000000
Sergei Bobrovsky,10000000
Tyler Seguin,9850000
Sebastian Aho,9750000
Johnny Gaudreau,9750000
Zach Werenski,9583333
Nikita Kucherov,9500000
Mark Stone,9500000
Seth Jones,9500000
Andrei Vasilevskiy,9500000
Adam Fox,9500000
Matthew Tkachuk,9500000
Brayden Point,9500000
Alex Ovechkin,9500000
Charlie McAvoy,9500000
Jamie Benn,9500000
Mikko Rantanen,9250000
Darnell Nurse,9250000
Nicklas Backstrom,9200000
Mathew Barzal,9150000
Roman Josi,9059000
Jeff Skinner,9000000
Cale Makar,9000000
Dougie Hamilton,9000000
Kirill Kaprizov,9000000
Timo Meier,8800000
Alex Pietrangelo,8800000
Patrik Laine,8700000
Sidney Crosby,8700000
Dylan Larkin,8700000
Steven Stamkos,8500000
Mikhail Sergachev,8500000
Mika Zibanejad,8500000
Connor Hellebuyck,8500000
Bo Horvat,8500000
Mark Scheifele,8500000
Pierre-Luc Dubois,8500000
Leon Draisaitl,8500000
Filip Forsberg,8500000
Roope Hintz,8450000
Miro Heiskanen,8450000
Tim Stuetzle,8350000
Owen Power,8350000
Ilya Sorokin,8250000
Blake Wheeler,8250000
Brady Tkachuk,8205714
Tomas Hertl,8137500
Jordan Kyrou,8125000
Robert Thomas,8125000
Jake Sanderson,8050000
Ryan Johansen,8000000
Logan Couture,8000000
John Carlson,8000000
Jack Hughes,8000000
Jacob Trouba,8000000
Brent Burns,8000000
Thomas Chabot,8000000
Joshua Norris,7950000
Jesper Bratt,7875000
Victor Hedman,7875000
Nick Suzuki,7875000
Alex Debrincat,7875000
Kevin Fiala,7875000
Quinn Hughes,7850000
Cole Caufield,7850000
Evgeny Kuznetsov,7800000
Sean Couturier,7750000
Andrei Svechnikov,7750000
Jason Robertson,7750000
Dmitry Orlov,7750000
Jared Spurgeon,7575000
Morgan Rielly,7500000
Aaron Ekblad,7500000
Vince Dunn,7350000
Noah Hanifin,7350000
Nico Hischier,7250000
Devon Toews,7250000
Clayton Keller,7150000
Tage Thompson,7142857
Kevin Hayes,7142857
Kyle Connor,7142857
Dylan Cozens,7100000
