playerId,season,name,team,position,team_rank,ev_icetime,offensive_rank,defensive_rank,general_play_rank,physicality_rank,penalties_rank,Finishing,penalty_kill_rank,power_play_rank,overall
8480950,2023,Ilya Lyubushkin,TOR,D,10,51.0,8.0,12.0,14.0,92.0,11.0,7.0,14.0,0.0,7.0
8480860,2023,Kevin Bahl,NJD,D,23,70.0,20.0,71.0,49.0,80.0,4.0,32.0,81.0,0.0,51.0
8476473,2023,Connor Murphy,CHI,D,31,36.0,7.0,19.0,8.0,88.0,26.0,44.0,21.0,0.0,6.0
8481743,2023,Marc Del Gaizo,NSH,D,11,2.0,32.0,65.0,36.0,90.0,98.0,10.0,0.0,0.0,43.0
8480803,2023,Evan Bouchard,EDM,D,9,93.0,99.0,94.0,100.0,25.0,71.0,69.0,0.0,96.0,100.0
8477851,2023,Jordan Oesterle,CGY,D,24,9.0,14.0,36.0,24.0,58.0,84.0,2.0,0.0,0.0,18.0
8478396,2023,Noah Hanifin,VGK,D,14,91.0,91.0,82.0,78.0,21.0,60.0,72.0,49.0,85.0,92.0
8477244,2023,Chad Ruhwedel,NYR,D,1,25.0,5.0,59.0,13.0,87.0,91.0,50.0,0.0,0.0,24.0
8470600,2023,Ryan Suter,DAL,D,2,88.0,48.0,83.0,70.0,37.0,29.0,25.0,0.0,0.0,76.0
8477018,2023,Ben Hutton,VGK,D,14,26.0,86.0,88.0,82.0,12.0,64.0,32.0,0.0,0.0,87.0
8476931,2023,Jake McCabe,TOR,D,10,73.0,70.0,40.0,66.0,91.0,30.0,78.0,38.0,0.0,66.0
8481719,2023,Maxwell Crozier,TBL,D,13,5.0,31.0,96.0,89.0,69.0,84.0,11.0,0.0,0.0,81.0
8476892,2023,Colton Parayko,STL,D,16,100.0,38.0,48.0,15.0,47.0,74.0,79.0,21.0,0.0,32.0
8477034,2023,Jaycob Megna,CHI,D,31,33.0,0.0,13.0,3.0,61.0,9.0,22.0,0.0,0.0,2.0
8479998,2023,Mikey Anderson,LAK,D,12,78.0,54.0,92.0,81.0,66.0,90.0,14.0,57.0,0.0,91.0
8477950,2023,Tony DeAngelo,CAR,D,3,13.0,53.0,47.0,67.0,1.0,84.0,34.0,0.0,0.0,53.0
8482245,2023,Artem Zub,OTT,D,26,64.0,73.0,77.0,76.0,74.0,32.0,59.0,69.0,0.0,82.0
8478407,2023,Vince Dunn,SEA,D,25,59.0,88.0,71.0,69.0,16.0,26.0,75.0,0.0,57.0,78.0
8483490,2023,Pavel Mintyukov,ANA,D,30,45.0,54.0,28.0,33.0,56.0,95.0,43.0,0.0,13.0,35.0
8478451,2023,Ethan Bear,WSH,D,17,12.0,11.0,33.0,7.0,31.0,8.0,1.0,0.0,0.0,5.0
8480035,2023,Henri Jokiharju,BUF,D,22,74.0,36.0,26.0,37.0,50.0,51.0,37.0,0.0,0.0,29.0
8480049,2023,Dylan Samberg,WPG,D,4,53.0,44.0,99.0,71.0,37.0,44.0,29.0,17.0,0.0,76.0
8481521,2023,Ronnie Attard,PHI,D,21,4.0,84.0,63.0,92.0,84.0,4.0,0.0,0.0,0.0,82.0
8474151,2023,Ryan McDonagh,NSH,D,11,71.0,74.0,86.0,92.0,7.0,70.0,40.0,38.0,0.0,91.0
8476917,2023,Adam Pelech,NYI,D,15,48.0,46.0,48.0,46.0,42.0,73.0,6.0,48.0,0.0,47.0
8478450,2023,Parker Wotherspoon,BOS,D,7,29.0,26.0,46.0,47.0,83.0,77.0,23.0,0.0,0.0,40.0
8475233,2023,David Savard,MTL,D,28,48.0,56.0,10.0,22.0,41.0,34.0,96.0,29.0,0.0,20.0
8478013,2023,Jake Walman,DET,D,18,50.0,51.0,6.0,18.0,22.0,60.0,99.0,11.0,0.0,13.0
8477220,2023,Nate Schmidt,WPG,D,4,44.0,34.0,100.0,86.0,53.0,64.0,18.0,0.0,0.0,82.0
8479442,2023,Troy Stecher,EDM,D,9,39.0,42.0,70.0,54.0,55.0,32.0,5.0,0.0,0.0,57.0
8476463,2023,Jonas Brodin,MIN,D,20,62.0,78.0,98.0,79.0,2.0,84.0,66.0,19.0,0.0,89.0
8483565,2023,Nick Blankenburg,CBJ,D,29,6.0,55.0,4.0,22.0,79.0,92.0,92.0,0.0,0.0,20.0
8480192,2023,Johnathan Kovacevic,MTL,D,28,42.0,59.0,16.0,27.0,59.0,19.0,95.0,54.0,0.0,26.0
8482470,2023,Ilya Solovyov,CGY,D,24,3.0,31.0,31.0,23.0,62.0,10.0,7.0,0.0,0.0,13.0
8476372,2023,Nick Seeler,PHI,D,21,51.0,70.0,74.0,87.0,82.0,68.0,12.0,97.0,0.0,90.0
8480834,2023,Ty Emberson,SJS,D,32,20.0,26.0,60.0,9.0,96.0,59.0,58.0,0.0,0.0,26.0
8477335,2023,Kyle Burroughs,SJS,D,32,71.0,20.0,7.0,8.0,96.0,17.0,30.0,0.0,0.0,8.0
8471686,2023,Marc Staal,PHI,D,21,18.0,50.0,42.0,53.0,51.0,25.0,31.0,0.0,0.0,42.0
